Mika\Title.wav|ブルーアーカイブ～☆
Mika\Gachaget.wav|聖園ミカ、ついに登場～☆ って感じかな？あっ、私と先生の仲だしアイスブレイクとかはいらないよね？これからよろしくね、先生。
Mika\Cafe_monolog_1.wav|ふーん。ちょっと狭いけど…これはこれで良いんじゃない？
Mika\Cafe_monolog_2.wav|あははっ！何これ、おもしろーい☆
Mika\Cafe_monolog_3.wav|私も昔、これと似たようなの持ってたなぁ…。
Mika\Cafe_monolog_4.wav|ここは退屈しなさそう。
Mika\Cafe_monolog_5.wav|先生は居ないのかぁ…。
Mika\LogIn_1.wav|先生、おかえり！待ってたよ！
Mika\LogIn_2.wav|おかえり、先生！ちゃーんといい子でお留守番してたよ。
Mika\Lobby_1.wav|ん～！今日も良い天気だね！こんな日に仕事ばかりなんて、勿体なくない？…良かったら、仕事終わりにお散歩とかどうかな？
Mika\Lobby_2.wav|あのさ…当番って、こういうのなの？べ、別に何か期待してるわけじゃ…。
Mika\Lobby_3.wav|うーん…別に退屈なわけじゃないけど…。
Mika\Lobby_4.wav|何か手伝おっか？任せてもらえたら、頑張るね！
Mika\Lobby_5.wav|へぇ…。先生が仕事する姿ってこんな感じなんだね…。
Mika\Season_Birthday_Player.wav|お誕生日おめでとう、先生！バースデーソング歌ってあげよっか？えっ、恥ずかしい？
Mika\Season_Birthday.wav|あれ…私の誕生日、知ってたんだ？う、うん…ありがとね…あははっ、バレちゃったかぁ。
Mika\Season_NewYear.wav|あけましておめでとう、先生！こんな私だけど、今年もよろしくね☆
Mika\Season_Xmas.wav|聖なる夜だね、先生。今日は何か予定ある？…よかったら、私と一緒に過ごさない？
Mika\Season_Halloween.wav|ハッピーハロウィーン☆今日限定のアクセサリーが売られてるらしいよ！一緒にショッピングとか、どうかな？
Mika\ExWeapon_Get.wav|あー…こんなに良くしてくれるのは嬉しいけど…このままじゃ、取り返しのつかないことになっちゃうかもしれないよ？先生。…いいの？私は…いいんだけどさ☆
Mika\MemorialLobby_0.wav|しーっ。
Mika\MemorialLobby_1.wav|…先生は、騙されたんだよ。どうしようね？もう、朝までここにいるしかないよ？
Mika\MemorialLobby_2.wav|こーんな簡単に私を信じちゃうなんて、先生ってホント…あれほど「私を信じないで」って言ったのに…
Mika\MemorialLobby_3.wav|ん？ここで騒いだら…みんなにバレちゃうよ？いいの？…私は、別にいいけど。
Mika\MemorialLobby_4.wav|…あれ。もしかして…怒った？私が問題児だってことくらい、先生だって知ってたでしょ…？
Mika\MemorialLobby_5.wav|その…困らせたかったんじゃないの。先生に、嫌われるのは…やだ…でも…ちょっとだけ…ほんのちょっとでいいから…先生と、一緒にいたかったの…。
Mika\Formation_In_1.wav|おっけ～
Mika\Formation_In_2.wav|私の出番？
Mika\Formation_Select.wav|あははっ、もう……
Mika\Tactic_Defeat_1.wav|あれ…？、何でだろう？
Mika\Tactic_Defeat_2.wav|ごめんね。私がもう少しうまくやれてたら…。
Mika\Tactic_In_1.wav|それじゃ、始めよっか。
Mika\Tactic_In_2.wav|ふーん、今度はあなた達？
Mika\Tactic_Victory_1.wav|ふふっ、あなた達も覚悟しておいてね？
Mika\Tactic_Victory_2.wav|こんなの楽勝だよ。
Mika\Battle_Buffed_1.wav|ふーん？
Mika\Battle_BuffSelf_1.wav|ちょっと気合い入れようかな。
Mika\Battle_Covered_1.wav|うん、私はここだよ。
Mika\Battle_Damage_1.wav|いたっ。
Mika\Battle_Damage_2.wav|いったー。
Mika\Battle_Damage_3.wav|うわっ！
Mika\Battle_Defense_1.wav|あははっ、ムリムリ☆
Mika\Battle_In_1.wav|それじゃ、始めよっか。
Mika\Battle_In_2.wav|じゃ、いっくよ～！
Mika\Battle_Move_1.wav|ここはもう終わりかな～。
Mika\Battle_Move_2.wav|どんどん行こっか？
Mika\Battle_Recovery_1.wav|さんきゅ！
Mika\Battle_Retire.wav|ここまで…かも。
Mika\Battle_TacticalAction_1.wav|私はこっちだよー？
