Shigure_(Hot_Spring)\Title.wav|ブルーアーカイブ～
Shigure_(Hot_Spring)\Gachaget.wav|やっほ～先生、227号温泉郷へようこそ。私のことは気にせず、ゆっくりしてってね。
Shigure_(Hot_Spring)\Cafe_monolog_1.wav|（どこからか冷たい空気が……）
Shigure_(Hot_Spring)\Cafe_monolog_2.wav|（この賑やかな感じ、久しぶり……嫌いじゃない）
Shigure_(Hot_Spring)\Cafe_monolog_3.wav|ん～いいにおい。
Shigure_(Hot_Spring)\Cafe_monolog_4.wav|あれ……？これダメになっちゃった？
Shigure_(Hot_Spring)\Cafe_monolog_5.wav|この一杯は……あの冬の日に。
Shigure_(Hot_Spring)\LogIn_1.wav|227号温泉郷、営業開始だよ。
Shigure_(Hot_Spring)\LogIn_2.wav|いらっしゃい、先生。ウェルカムドリンクはいかが？
Shigure_(Hot_Spring)\Lobby_1.wav|ん－熱めのお湯に浸かってたからかちょっと身体が火照ってるかも……。
Shigure_(Hot_Spring)\Lobby_2_1.wav|最近知ったんだけど、牛乳を発酵させてもそれっぽくなるらしいよ？
Shigure_(Hot_Spring)\Lobby_2_2.wav|つまり、フルーツ牛乳を使えば……そんな目で見ないでよ。やらないってば。
Shigure_(Hot_Spring)\Lobby_3.wav|ノドカってすごいよねぇ。私にはノドカのような情熱はないんだろうなぁ……。
Shigure_(Hot_Spring)\Lobby_4_1.wav|温泉で熊と出会ってもビックリしないでね。うちの従業員なんだ。
Shigure_(Hot_Spring)\Lobby_4_2.wav|……もちろん、冗談だけど。
Shigure_(Hot_Spring)\Lobby_5.wav|先生、無理しないようにね。先生がつらい思いをすると、悲しむ子がいっぱいいるんだよ。
Shigure_(Hot_Spring)\Season_Birthday_Player_1.wav|お誕生日おめでと、先生。今日のために特別なお風呂を用意したよ。後で一緒に行こうね。
Shigure_(Hot_Spring)\Season_Birthday_Player_2.wav|えっ、ひとりで楽しむ？なーんーでーさーー。
Shigure_(Hot_Spring)\Season_Birthday_1.wav|美味しいものを買ってくれるの？誕生日だから？フフッ、何にしよっかな～。
Shigure_(Hot_Spring)\Season_Birthday_2.wav|ま、先生がくれるものなら何でもいいんだけどね。……カレー以外なら。
Shigure_(Hot_Spring)\Season_NewYear.wav|（今年も、去年と同じような年だったらいいな）
Shigure_(Hot_Spring)\Season_Xmas_1.wav|あっ先生、七面鳥に合うドリンクを作ったから、一つ持ってってよ。
Shigure_(Hot_Spring)\Season_Xmas_2.wav|まだ発酵は……してないはず。まだ、ね。ふふっ。
Shigure_(Hot_Spring)\Season_Halloween_1.wav|かぼちゃは、香り的にも糖分的にもピッタリだと思うんだよねぇ。
Shigure_(Hot_Spring)\Season_Halloween_2.wav|あ、かぼちゃジュースの話ね。気にしない気にしない。
Shigure_(Hot_Spring)\ExWeapon_Get.wav|まあ、武器の出番がないならそれが一番だけど……必要なら、仕方ないよね。
Shigure_(Hot_Spring)\MemorialLobby_1.wav|はい、先生。お布団の外は寒いでしょ？意地張らないでこっちにおいでよ。
Shigure_(Hot_Spring)\MemorialLobby_2.wav|お布団もふかふかだし、温まってるよ？こっちならすぐ寝付けると思う。
Shigure_(Hot_Spring)\MemorialLobby_3.wav|もし、お布団だけじゃ寒いなら……私が湯たんぽの代わりになるよ。
Shigure_(Hot_Spring)\MemorialLobby_4.wav|え？元々あった湯たんぽ……？えっとね……中身、飲んじゃった。
Shigure_(Hot_Spring)\MemorialLobby_5.wav|その、お布団の中がさ……モルスを温めるのにちょうどいい温度で……さっき仕事してる時に、湯たんぽの中身を特製モルスに入れ替えたの。
Shigure_(Hot_Spring)\MemorialLobby_6.wav|でも……しょうがないよね？こうなっちゃった以上、体を温める方法は他にないし……だから今夜は、先生が湯たんぽの代わりになってよ。
Shigure_(Hot_Spring)\CommonSkill.wav|温泉まんじゅうでもどう？
Shigure_(Hot_Spring)\ExSkill_1.wav|はい、先生。今日の祝杯を挙げるよ。
Shigure_(Hot_Spring)\ExSkill_2.wav|かんぱ～い！
Shigure_(Hot_Spring)\ExSkill_3.wav|ナ・ズダローヴィエ！
Shigure_(Hot_Spring)\ExSkill_Level_1.wav|227号温泉郷の特設ドリンクバー、営業開始だよっ。
Shigure_(Hot_Spring)\ExSkill_Level_2.wav|お酒じゃないから、みんな安心して飲んでね。
Shigure_(Hot_Spring)\ExSkill_Level_3.wav|さあさ、一杯どうぞ。
Shigure_(Hot_Spring)\Growup_1.wav|おっ、これは印象的な発酵……いや、成長だね。
Shigure_(Hot_Spring)\Growup_2.wav|これもドリンク作りに使えるかな？……ふふ、冗談だって。
Shigure_(Hot_Spring)\Growup_3.wav|どこにいても、たゆまぬ努力は大事だよね。
Shigure_(Hot_Spring)\Growup_4.wav|いつも手伝ってくれてありがとね、先生。
Shigure_(Hot_Spring)\Relationship_Up_1.wav|先生、ちょ～っとあっちの方でおしゃべりしない？
Shigure_(Hot_Spring)\Relationship_Up_2.wav|……扉を開けとくからさ。暇なら遊びにきていいからね？
Shigure_(Hot_Spring)\Relationship_Up_3.wav|先生、いい表情してる。何でみんなが夢中になるのか、わかる気がするよ。
Shigure_(Hot_Spring)\Relationship_Up_4.wav|いつか本当にお酒を飲めるようになったら……最初の一杯は先生と一緒がいいな。
