Shiroko＊Terror\Title.wav|ブルーアーカイブ。
Shiroko＊Terror\Gachaget.wav|アビドスの砂狼シロコ…。ん、またよろしくね、先生。
Shiroko＊Terror\Cafe_monolog_1.wav|ここは…悪くない…。
Shiroko＊Terror\Cafe_monolog_2.wav|平和だね、ここは。
Shiroko＊Terror\Cafe_monolog_3.wav|ん、休憩しようかな。
Shiroko＊Terror\Cafe_monolog_4.wav|これは…なに？開けてみていいの…？
Shiroko＊Terror\Cafe_monolog_5.wav|（この家具…先生の好みなのかな…）
Shiroko＊Terror\LogIn_1.wav|忙しそうだけど…手伝おうか？
Shiroko＊Terror\LogIn_2.wav|ん、待ってたよ、先生。仕事が終わるまで、帰さないから。
Shiroko＊Terror\Lobby_1_1.wav|先生、書類仕事、少し終わらせたよ。ん？教わってないのに、どうやったのかって？
Shiroko＊Terror\Lobby_1_2.wav|…前、やったことあるから。
Shiroko＊Terror\Lobby_2_1.wav|休憩室にあるお菓子、なんだけど…ごめん、ちょっと食べちゃった。
Shiroko＊Terror\Lobby_2_2.wav|もっと食べていいの？…ありがとう。
Shiroko＊Terror\Lobby_3.wav|先生、遅くまで仕事？私も、一緒に居てあげる。
Shiroko＊Terror\Lobby_4.wav|何でそんなにじーっと見てるの…？ん、睨めっこ対決、受けて立つ。
Shiroko＊Terror\Lobby_5.wav|あれもこれも全部、懐かしいものばかり。
Shiroko＊Terror\Season_Birthday_Player.wav|誕生日、おめでとう。その、よかったら一緒にライディング…ん？その提案は今日で2回目？
Shiroko＊Terror\Season_Birthday.wav|私の誕生日だね、ありがとう。…先生、こっちの私も、お祝いしてあげて。
Shiroko＊Terror\Season_NewYear.wav|あけましておめでとう、先生。また新しい一年が始まるね。先生の今年の目標は？
Shiroko＊Terror\Season_Xmas.wav|クリスマスだね…私へのプレゼントは？ふふ、冗談だよ。メリークリスマス、先生。
Shiroko＊Terror\Season_Halloween.wav|トリック・オア・トリート。ん、先に言ったのは私。お菓子、もらうね。
Shiroko＊Terror\ExWeapon_Get.wav|私に、ここまでしてくれるんだ。う、ううん。不満とかじゃなくて。ただ、ちょっと驚いただけ…。
Shiroko＊Terror\MemorialLobby_1.wav|…いつも通りだね、ここは。変わったのは、私だけか。
Shiroko＊Terror\MemorialLobby_2.wav|ん…でも、変わってないものもあって、少し安心した。
Shiroko＊Terror\MemorialLobby_3.wav|先生、私、また自転車に乗ってみたいと思う。
Shiroko＊Terror\MemorialLobby_4.wav|色々と壁はあるかもしれないけど…でも、先生が居てくれたら…できる気がするの。
Shiroko＊Terror\MemorialLobby_5.wav|ん、ありがとう。先生。
Shiroko＊Terror\Formation_In_1.wav|準備完了。手伝うね。
Shiroko＊Terror\Formation_In_2.wav|ん、参戦する。
